"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"802",1994,102,3.9,33.42,63141,"PG-13"
"803",2016,104,5.6,33.37,14279,"PG"
"804",2001,94,5.4,33.36,8457,"PG"
"805",1996,121,6.8,33.33,69783,"R"
"806",1985,133,7.2,33.2,35273,"PG-13"
"807",1996,114,5.9,33.02,63179,"PG-13"
"808",2000,99,4.8,33.02,31050,"R"
"809",1982,96,6.8,33,108796,"PG"
"810",1998,111,6.1,32.94,64471,"R"
"811",1982,117,8.1,32.87,653549,"R"
"812",2004,98,7.2,32.77,154268,"R"
"813",1999,102,6.6,32.7,112691,"R"
"814",2001,116,4.6,32.62,38229,"PG-13"
"815",2000,135,6.2,32.6,53638,"R"
"816",1993,97,6.2,32.59,42062,"R"
"817",1995,87,6.7,32.39,36955,"R"
"818",2004,97,4.6,32.24,27348,"PG-13"
"819",2019,119,6.2,32.14,46930,"R"
"820",2001,106,6.4,32.13,78787,"PG-13"
"821",2005,121,5.1,32.12,50360,"PG-13"
"822",1994,108,6.1,32.06,22256,"PG-13"
"823",2004,94,6.5,32,89686,"PG-13"
"824",1997,117,5.5,31.99,24653,"R"
"825",2016,133,7.4,31.89,80766,"R"
"826",2009,111,6.1,31.81,102454,"PG-13"
"827",1999,82,5.7,31.77,52224,"R"
"828",1979,118,5.8,31.76,29988,"PG"
"829",2009,79,7.1,31.74,128435,"PG-13"
"830",2008,104,6.1,31.72,151445,"PG-13"
"831",2015,120,6.8,31.57,219634,"R"
"832",2010,112,7.5,31.49,352683,"PG-13"
"833",2018,96,6.6,31.45,39322,"PG-13"
"834",1997,88,5.5,31.24,36650,"PG-13"
"835",2003,135,5.5,31.19,88146,"PG-13"
"836",2013,130,5.9,31.17,124091,"PG-13"
"837",2016,127,5.4,31.15,99401,"PG-13"
"838",1990,113,5.8,31.05,25930,"R"
"839",1984,103,5.9,31.04,73386,"PG"
"840",1984,137,6.5,30.93,115160,"PG-13"
"841",2018,116,5.3,30.82,55568,"PG-13"
"842",1994,123,5.3,30.81,11054,"PG"
"843",2018,100,7.9,30.71,19591,"PG"
"844",2014,117,6.2,30.7,83757,"PG-13"
"845",1990,108,6.3,30.67,139062,"R"
"846",1983,105,6.4,30.5,8506,"R"
"847",2017,112,6.4,30.35,61121,"PG-13"
"848",2016,91,5.8,30.35,65629,"R"
"849",1995,132,6.3,30.31,74614,"R"
"850",2000,117,5.7,30.21,27845,"R"
"851",2002,116,5.6,30.16,43696,"PG-13"
"852",1994,121,6.2,30.16,27031,"R"
"853",1991,110,5.6,30.1,36111,"R"
"854",2009,98,6.4,30.1,118873,"R"
"855",1989,114,6.6,30.05,58328,"R"
"856",1993,109,6.1,30.04,23943,"R"
"857",2003,116,5.3,30.01,34857,"PG-13"
"858",1977,114,5.7,30,8967,"PG"
"859",1975,125,6.6,30,21144,"R"
"860",1999,121,6.1,29.66,59954,"PG-13"
"861",2018,84,6.8,29.56,14558,"PG"
"862",1970,144,7.5,29.55,30263,"G"
"863",1994,100,6,29.39,6223,"R"
"864",1988,110,6.8,29.3,11033,"R"
"865",2005,101,6.2,29.26,87347,"PG"
"866",2011,87,5.7,29.14,110665,"PG-13"
"867",2011,93,6.6,29.12,144980,"R"
"868",1992,84,5.3,29,19285,"PG"
"869",1996,81,5.4,29,34850,"PG-13"
"870",1961,158,7.5,28.9,43260,"TV-PG"
"871",2016,101,4.7,28.85,61795,"PG-13"
