"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"629",2009,89,5.5,58.72,96748,"PG"
"630",1992,89,4.8,58.66,39053,"PG"
"631",2006,98,4.4,58.65,47989,"PG-13"
"632",2006,87,6.5,58.64,14827,"G"
"633",1996,113,5.8,58.62,53939,"PG-13"
"634",1992,102,6.1,58.5,21129,"PG"
"635",1968,151,7.4,58.5,17529,"G"
"636",1992,104,6.6,58.42,97250,"PG-13"
"637",2010,92,7.1,58.4,340515,"PG-13"
"638",2013,114,7.3,58.24,282179,"PG"
"639",1999,132,6.9,58.22,105361,"PG"
"640",2004,95,5.9,58.17,42810,"PG-13"
"641",2017,116,5.5,58.06,148632,"R"
"642",1987,88,6.3,57.92,31895,"PG-13"
"643",2004,106,6.1,57.89,41641,"PG-13"
"644",2001,84,4.8,57.74,54995,"PG-13"
"645",2006,85,5.5,57.65,46620,"PG-13"
"646",1997,116,8.6,57.6,579443,"PG-13"
"647",1987,106,6,57.39,30266,"PG-13"
"648",2000,98,6.1,57.33,34943,"R"
"649",1993,107,5.6,57.32,46208,"PG"
"650",2000,98,6.7,57.26,105821,"R"
"651",2004,98,6.1,57.23,155985,"PG-13"
"652",1980,133,7.9,57.23,172794,"R"
"653",1992,87,5.6,57.11,62553,"PG"
"654",1982,127,6.6,57.06,37832,"PG"
"655",1988,123,6.9,57.04,22020,"PG-13"
"656",2013,89,5.9,57.01,23802,"PG"
"657",2012,113,6.7,57.01,195953,"R"
"658",2000,110,6.5,56.94,114782,"PG-13"
"659",2011,94,7.7,56.82,366805,"PG-13"
"660",1967,108,7.8,56.7,36350,"Not Rated"
"661",1995,97,6.8,56.63,164294,"PG-13"
"662",2001,112,6.4,56.62,105013,"PG-13"
"663",2002,118,5.8,56.4,32148,"PG-13"
"664",1983,105,7.2,56.2,31020,"R"
"665",2003,95,5.5,56.13,65550,"PG-13"
"666",2005,85,7.4,56.11,119687,"G"
"667",2005,118,5.6,56.05,65711,"PG-13"
"668",2012,92,7,56,89841,"PG"
"669",2011,109,6.5,55.8,325561,"R"
"670",2013,91,5.9,55.75,21556,"PG"
"671",1985,87,5.8,55.6,48638,"PG-13"
"672",1999,107,6.1,55.47,79547,"PG-13"
"673",2016,92,5.7,55.46,107583,"R"
"674",2009,100,5.8,55.25,79757,"PG-13"
"675",2007,113,5.8,55.18,11792,"PG-13"
"676",1991,104,6.2,54.83,31415,"PG-13"
"677",2016,105,5.8,54.77,64389,"R"
"678",2012,103,6.3,54.76,170605,"PG-13"
"679",2012,88,6.6,54.73,182135,"R"
"680",1998,110,6.2,54.68,88390,"PG-13"
"681",2019,117,5.2,54.61,16375,"R"
"682",2018,100,6.5,54.55,97356,"R"
"683",2011,118,5.7,54.54,78902,"PG-13"
"684",2017,115,8.2,54.51,380054,"R"
"685",2014,108,6.3,54.45,149625,"R"
"686",2014,122,7.3,54.24,72359,"PG"
"687",2007,103,6.2,54.15,59484,"PG"
"688",2016,111,5.9,54.03,13700,"PG-13"
"689",1993,105,6.4,53.9,48160,"PG"
"690",1997,89,7,53.88,212629,"PG-13"
"691",2015,105,6.6,53.86,200467,"R"
"692",1996,135,6.4,53.85,44180,"R"
"693",2007,126,7,53.7,194763,"PG-13"
"694",1995,127,6.3,53.67,34847,"PG"
"695",1993,103,6,53.58,23343,"PG"
"696",2018,117,6.8,53.55,105897,"R"
"697",1990,81,5.4,53.47,27024,"PG"
"698",2005,88,5.5,53.41,25631,"PG"
"699",2010,114,6.5,53.37,116274,"PG-13"
"700",1993,89,4.9,53.35,24486,"PG"
"701",2011,106,4.7,53.35,7187,"PG-13"
"702",2013,116,6.6,53.26,153073,"PG-13"
"703",1990,109,6.4,53.21,60266,"PG-13"
"704",2010,105,6.5,53.03,88140,"PG"
"705",1992,120,7.6,52.93,100093,"R"
"706",1999,105,5.4,52.89,31027,"PG-13"
"707",1999,106,6.5,52.89,40243,"R"
"708",1987,99,6.2,52.86,6952,"R"
"709",2018,105,5.6,52.86,28853,"PG-13"
