"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"417",2005,101,5.5,56.39,46036,"PG-13"
"418",2003,102,6.4,56.36,148674,"R"
"419",1996,129,7.7,56.12,171255,"R"
"420",2004,103,7.6,56,362300,"R"
"421",2000,115,6.1,55.97,64501,"R"
"422",1999,159,7.4,55.69,282801,"R"
"423",2017,96,6.5,55.68,102011,"PG-13"
"424",2010,97,6.9,55.68,75355,"PG"
"425",1998,98,6,55.59,73049,"R"
"426",1983,134,6.2,55.5,57812,"PG"
"427",2009,92,5.9,55.39,57560,"PG-13"
"428",2016,86,6.3,55.12,112538,"PG-13"
"429",2011,111,6.1,55.1,221683,"PG-13"
"430",1998,86,5.7,55.04,63239,"R"
"431",2006,139,6.9,55.01,84735,"PG-13"
"432",2001,113,6.3,55,46831,"R"
"433",1997,124,6.4,54.93,102275,"R"
"434",1997,129,7.2,54.81,256802,"R"
"435",2019,93,5.3,54.73,28641,"R"
"436",2019,101,5.8,54.72,66358,"R"
"437",2011,93,7.5,54.71,464468,"PG-13"
"438",2006,110,5.5,54.61,54714,"R"
"439",2004,112,7.8,54.58,407531,"R"
"440",1989,171,7.6,54.46,155608,"PG-13"
"441",2012,95,6.4,54.33,168945,"PG-13"
"442",2013,91,6.5,54.24,150425,"R"
"443",2002,131,7.8,54.23,123515,"PG-13"
"444",2015,168,7.8,54.12,474159,"R"
"445",2006,93,5.8,54.1,124609,"R"
"446",2010,103,6.8,54.01,263696,"PG-13"
"447",2012,88,4.6,53.92,59914,"R"
"448",2003,119,6.3,53.79,99676,"PG-13"
"449",2018,117,6.8,53.55,105897,"R"
"450",1987,102,7.5,53.42,221145,"R"
