"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"409",2018,100,7.9,30.71,19591,"PG"
"410",1990,108,6.3,30.67,139062,"R"
"411",2016,91,5.8,30.35,65629,"R"
"412",2017,104,6.6,30.23,192089,"R"
"413",2008,81,4.5,30.11,10340,"G"
"414",2009,98,6.4,30.1,118873,"R"
"415",1975,125,6.6,30,21144,"R"
"416",1999,121,6.1,29.66,59954,"PG-13"
"417",2018,84,6.8,29.56,14558,"PG"
"418",1983,101,6.5,29.5,31332,"PG"
"419",2005,101,6.2,29.26,87347,"PG"
"420",2019,90,5.8,29.21,32155,"R"
"421",1984,101,6.8,28.73,36357,"PG"
"422",1984,115,7,28.7,40465,"PG"
"423",2007,100,7,28.64,247786,"R"
"424",2005,105,5.2,28.21,102419,"R"
"425",1954,127,7.2,28.2,27113,"G"
"426",2019,100,6.2,28.05,44985,"PG-13"
"427",1996,96,4.5,27.66,29822,"PG-13"
"428",1982,85,6.2,27.15,46461,"PG"
"429",1999,97,2.6,27.14,24397,"PG"
"430",2012,172,7.4,27.11,333433,"R"
"431",2005,101,4.4,26.87,65240,"PG-13"
"432",2016,107,5.5,26.83,78535,"R"
"433",1997,96,6.7,26.67,148774,"R"
"434",2013,125,5.9,26.63,107628,"PG-13"
"435",1999,112,6.6,26.49,56979,"PG-13"
"436",1981,93,5.1,26.15,4659,"PG"
"437",2013,109,7,26,245568,"R"
"438",1987,120,6.8,25.89,51470,"PG"
"439",2005,93,5.4,25.86,120909,"PG-13"
"440",2015,83,5.2,25.8,39159,"PG-13"
"441",2007,126,7.1,25.59,268491,"R"
"442",2013,126,8,25.57,496932,"R"
"443",2005,119,7.8,25.51,275404,"PG-13"
"444",1997,105,5.9,25.48,44004,"R"
"445",1996,101,5.7,25.48,66215,"R"
"446",2009,98,5.9,25.46,71392,"PG-13"
"447",2014,108,7.7,25.44,442884,"R"
"448",1961,92,6.8,25.38,6800,"Approved"
"449",1981,99,7.2,25.24,116777,"R"
"450",1988,91,6.3,25.22,13567,"R"
"451",2009,86,5.4,25.2,19889,"PG"
"452",1976,119,6.8,25,49226,"PG"
"453",1978,115,7.4,24.95,48780,"PG"
"454",2017,135,5.7,24.45,88664,"R"
"455",1995,106,5.6,24.05,26807,"R"
"456",1985,94,6.6,23.83,75455,"PG-13"
"457",1998,89,3.8,23.32,39662,"PG-13"
"458",2004,100,4.5,23.22,13440,"PG"
"459",1999,86,8,23.16,162807,"PG"
"460",2006,85,5.1,23.09,29173,"PG-13"
"461",2014,119,6.3,23.02,209183,"PG-13"
"462",2000,94,6.6,22.75,57276,"PG"
"463",2008,90,5.6,22.53,91281,"PG-13"
"464",2006,96,5.1,22.53,60104,"PG-13"
"465",2015,106,6.4,22.33,73220,"PG-13"
"467",1963,100,6.1,22.13,2518,"Approved"
"468",1994,123,6.4,22.01,49171,"R"
"469",2019,120,5.2,21.9,65977,"R"
"470",2018,110,6.6,21.7,71830,"R"
"471",1979,89,6.7,21.67,4718,"PG"
"472",1988,110,5.8,21.63,22808,"PG"
"473",2000,118,2.5,21.47,74045,"PG-13"
"474",2007,90,6.2,21.47,20339,"PG"
"475",2011,89,4.9,21.43,56081,"PG-13"
