"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"1090",1999,105,5.8,73.65,118685,"R"
"1091",2009,109,7.4,73.34,259850,"R"
"1092",2019,116,6.9,73.29,76565,"PG-13"
"1093",2002,83,7.1,73.28,60476,"G"
"1094",2019,109,4.3,73.26,3051,"PG-13"
"1095",2000,112,5.8,73.21,117711,"R"
"1096",2016,103,4.6,73.16,7253,"PG-13"
"1097",2013,131,6.4,73.1,197777,"PG-13"
"1098",2012,132,6.6,73.08,247055,"PG-13"
"1099",2009,100,5.4,73.03,20495,"PG"
"1100",2010,114,5.9,73.03,94663,"PG-13"
"1101",2011,105,1.6,73.01,75029,"G"
"1102",2006,90,5.5,72.78,26050,"PG"
"1103",2006,92,7,72.78,64173,"R"
"1104",2005,128,6.4,72.71,94570,"PG-13"
"1105",2014,98,6,72.69,140436,"PG-13"
"1106",2016,87,6.8,72.68,52573,"PG"
"1107",1997,101,5.7,72.59,127186,"R"
"1108",2015,142,7.6,72.31,271997,"PG-13"
"1109",2011,113,6.9,72.29,21375,"PG"
"1110",2008,90,6.6,72.27,141273,"PG-13"
"1111",1994,86,6.9,72.22,263357,"PG-13"
"1112",1981,95,6.3,72.18,31459,"PG"
"1113",2017,104,5.6,72.11,37849,"R"
"1114",2009,111,7.2,72.09,37415,"PG"
"1115",2016,103,7.2,72.08,272805,"PG-13"
"1116",1995,105,6.9,72.08,72874,"R"
"1117",2007,116,5.6,72.01,38447,"PG"
"1118",1964,170,7.8,72,82265,"G"
"1119",2007,104,6.8,71.99,247092,"PG-13"
"1120",2014,103,6.4,71.96,130174,"R"
"1121",2002,116,7.1,71.76,118219,"PG-13"
"1122",2006,99,5.5,71.73,54212,"PG"
"1123",2013,100,6.2,71.63,163378,"PG-13"
"1124",1986,93,6.9,71.62,24648,"R"
"1125",1990,104,5.4,71.61,21429,"PG"
"1126",1999,102,7.3,71.58,141555,"PG"
"1127",1994,116,7.1,71.57,168908,"PG-13"
"1128",2001,97,6.7,71.54,213799,"R"
