"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"57",2015,123,6.9,62.58,160366,"R"
"58",1970,172,7.9,61.7,90234,"GP"
"59",2016,109,7.1,61.69,18818,"PG"
"60",2005,144,8,61.65,169758,"PG-13"
"61",2010,123,7.2,59.71,25233,"PG"
"62",2014,138,5.7,59.7,17825,"PG-13"
"63",1981,125,7.2,58.97,51123,"PG"
"64",1968,151,7.4,58.5,17529,"G"
"65",2001,157,6.8,58.2,89730,"R"
"66",2006,105,7.1,57.79,62700,"PG"
"67",1963,192,7,57.78,27460,"G"
"68",2013,134,8.1,56.67,600364,"R"
"69",1993,130,7.8,56.51,118915,"R"
"70",2017,125,7.4,56.47,151600,"PG-13"
"71",2006,103,7.3,56.44,100116,"PG-13"
"72",1987,108,6.9,54.22,26385,"PG-13"
"73",1973,151,8,53.27,116033,"R"
"74",2001,124,7.6,52.99,230051,"R"
"75",1982,191,8,52.77,211209,"PG"
"76",2003,109,6.9,52.28,37077,"PG"
"77",1990,121,7.8,52.1,116183,"PG-13"
"78",2014,128,7.5,52.08,79990,"PG-13"
"79",1984,160,8.3,51.97,349425,"R"
"80",2016,118,8,51.74,192698,"PG-13"
