"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"465",1985,110,6.4,37.8,33737,"R"
"466",1994,101,6.3,37.8,33295,"PG"
"467",2000,103,5.7,37.75,23927,"PG-13"
"468",1998,124,5.7,37.67,6508,"R"
"469",2011,100,5.4,37.66,104405,"PG-13"
"470",1995,134,6,37.6,64921,"PG-13"
"471",1998,123,7,37.56,81613,"R"
"472",2010,104,5.3,37.49,47015,"PG-13"
"473",2004,119,6,37.49,34533,"PG-13"
"474",2015,123,7.1,37.45,72649,"PG-13"
"475",2006,115,6.2,37.44,31000,"PG-13"
"476",2011,137,6.5,37.31,118304,"R"
"477",2002,93,3.5,37.19,37534,"PG-13"
"478",1977,108,5.9,37.19,2472,"R"
"479",2000,128,6.3,37.05,48623,"PG-13"
"480",2003,92,6.1,36.92,33824,"PG-13"
"481",1982,116,5.4,36.82,2369,"PG"
"482",2007,116,5.8,36.79,81850,"R"
"483",2000,106,5.7,36.78,19508,"PG-13"
"484",1994,109,4.6,36.76,62500,"PG-13"
"485",1991,97,6.6,36.49,13697,"PG-13"
"486",1993,95,5.8,36.45,16633,"PG-13"
"487",1984,93,6.6,36.4,15647,"PG"
"488",1972,129,7,36.14,46723,"NC-17"
"489",1996,123,6.9,36.05,13081,"R"
"490",1952,152,6.6,36,12072,"Passed"
"491",2003,105,5.8,35.99,56605,"PG"
"492",2014,123,7.7,35.89,375568,"PG-13"
"493",1996,105,7.7,35.81,49507,"PG-13"
"494",1993,104,6.7,35.74,110703,"PG-13"
"495",1987,97,6.6,35.66,16243,"PG-13"
"496",2011,98,6.1,35.61,60601,"PG-13"
"497",1987,114,7.1,35.51,33216,"R"
"498",1990,110,6.7,35.42,27137,"PG-13"
"499",1995,78,6.8,35.35,42668,"G"
"500",2003,100,6.2,35.33,87191,"PG-13"
"501",2000,90,3.6,35.27,20310,"PG"
"502",1992,96,5.8,35.21,16268,"PG-13"
"503",1999,137,6.6,35.17,30344,"PG-13"
"504",1993,120,7,35.11,26132,"PG-13"
"505",2012,99,6.4,35.07,52199,"PG-13"
"506",2012,110,5.5,35.03,7165,"PG-13"
"507",2011,100,7.6,35.01,306265,"R"
"508",1981,140,7.4,34.97,54941,"PG"
"509",2007,96,5.6,34.93,83230,"R"
"510",1996,108,5.7,34.75,4084,"R"
"511",1988,119,7.6,34.7,61503,"R"
"513",1997,100,6.1,34.66,22654,"R"
"514",2004,108,8.3,34.4,854671,"R"
"515",1987,102,6.9,34.37,35306,"PG-13"
"516",1967,138,6.9,34.34,5651,"G"
"517",2008,124,7.6,34.19,222439,"R"
"518",1999,120,6.8,34.1,8739,"R"
"519",1996,97,6.2,34.07,24309,"PG-13"
"520",2015,101,6.5,34.02,78142,"PG-13"
"521",1991,97,5.3,34,14592,"PG"
"522",2017,96,6.4,34,29505,"PG-13"
"523",2004,104,7.2,33.99,194969,"R"
"524",1999,102,5.8,33.86,33511,"PG-13"
"525",2009,99,4.8,33.86,38499,"PG-13"
"526",2000,120,6.8,33.77,30801,"PG-13"
"527",1991,101,5.9,33.69,19506,"PG"
"528",1991,111,6.1,33.67,14227,"R"
"529",1996,99,7,33.61,20093,"G"
"530",1977,119,6.9,33.6,4028,"PG"
"531",2005,129,7.4,33.58,127959,"R"
"532",2008,122,6.5,33.46,20245,"PG"
"533",2001,122,8.3,33.23,671774,"R"
"534",1985,133,7.2,33.2,35273,"PG-13"
"535",1995,101,6.5,33.19,10825,"PG-13"
"536",2011,110,5.7,33.04,49688,"PG-13"
"537",2005,130,6.4,32.88,57723,"PG-13"
"538",2010,129,6.4,32.75,88446,"PG-13"
"539",2010,91,5.6,32.67,58380,"PG-13"
"540",2000,115,6.9,32.66,18902,"PG"
"541",1978,127,7.3,32.65,11647,"R"
"542",1988,121,6.8,32.63,14158,"PG"
