"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"521",1996,113,5.8,58.62,53939,"PG-13"
"522",1989,113,6.8,58.57,35948,"R"
"523",1968,151,7.4,58.5,17529,"G"
"524",1997,94,7.1,58.41,106074,"G"
"525",2010,92,7.1,58.4,340515,"PG-13"
"526",2003,139,7.4,58.33,63839,"R"
"527",2013,114,7.3,58.24,282179,"PG"
"528",1999,132,6.9,58.22,105361,"PG"
"529",2001,157,6.8,58.2,89730,"R"
"530",2008,98,6.2,58.02,77445,"PG-13"
"531",2011,118,7.3,58.01,202054,"R"
"532",2004,113,7.6,57.94,432937,"R"
"533",2004,106,6.1,57.89,41641,"PG-13"
"534",2006,105,7.1,57.79,62700,"PG"
"535",1963,192,7,57.78,27460,"G"
"536",2016,139,7.2,57.64,91258,"PG-13"
"537",1997,116,8.6,57.6,579443,"PG-13"
"538",1999,126,7.4,57.55,89873,"PG-13"
"539",1991,112,7.7,57.5,116654,"R"
"540",2005,145,7.4,57.49,133854,"PG-13"
"541",2001,127,7.6,57.39,257450,"PG-13"
"542",2017,132,6.3,57.39,27588,"PG-13"
"543",2006,143,8,57.37,475302,"R"
"544",1994,110,5.6,57.36,60043,"R"
"545",1974,202,9,57.3,1055,"R"
"546",1988,126,7.3,57.27,96139,"PG"
"547",1992,111,6.3,57.14,13808,"R"
"548",1992,87,5.6,57.11,62553,"PG"
"549",1982,127,6.6,57.06,37832,"PG"
"550",1988,123,6.9,57.04,22020,"PG-13"
"551",2015,100,5.6,57.02,9316,"PG-13"
"552",1998,132,6.5,56.97,150240,"PG-13"
"553",1998,115,6.6,56.7,26464,"PG-13"
"554",1967,108,7.8,56.7,36350,"Not Rated"
"555",2013,134,8.1,56.67,600364,"R"
"556",1993,130,7.8,56.51,118915,"R"
"557",2017,125,7.4,56.47,151600,"PG-13"
"558",2015,124,6.6,56.45,121908,"PG-13"
"559",2006,103,7.3,56.44,100116,"PG-13"
"560",2002,118,5.8,56.4,32148,"PG-13"
"561",2005,101,5.5,56.39,46036,"PG-13"
"562",1990,105,7.9,56.36,426589,"PG-13"
"563",2014,92,6.3,56.28,169966,"PG-13"
"564",2016,106,7.4,56.25,187858,"PG-13"
"565",1983,105,7.2,56.2,31020,"R"
"566",2015,100,4.3,56.12,144063,"PG-13"
"567",1996,129,7.7,56.12,171255,"R"
"568",2005,118,5.6,56.05,65711,"PG-13"
"569",1992,102,6.3,55.96,42696,"PG"
"570",1999,159,7.4,55.69,282801,"R"
"571",1998,113,7,55.49,98155,"PG-13"
"572",1999,107,6.1,55.47,79547,"PG-13"
"573",2009,92,5.9,55.39,57560,"PG-13"
"574",2007,113,5.8,55.18,11792,"PG-13"
"575",2016,86,6.3,55.12,112538,"PG-13"
"576",2006,139,6.9,55.01,84735,"PG-13"
"577",2001,113,6.3,55,46831,"R"
"578",1997,96,5.3,54.97,61560,"R"
"579",1997,124,6.4,54.93,102275,"R"
"580",1991,104,6.2,54.83,31415,"PG-13"
"581",1980,124,7.7,54.8,43852,"R"
"582",2011,93,7.5,54.71,464468,"PG-13"
"583",2004,112,7.8,54.58,407531,"R"
"584",2017,115,8.2,54.51,380054,"R"
"585",1989,171,7.6,54.46,155608,"PG-13"
"586",2012,95,6.4,54.33,168945,"PG-13"
"587",2014,122,7.3,54.24,72359,"PG"
"588",2002,131,7.8,54.23,123515,"PG-13"
"589",1987,108,6.9,54.22,26385,"PG-13"
"590",2015,168,7.8,54.12,474159,"R"
"591",2016,111,5.9,54.03,13700,"PG-13"
"592",1982,129,7.7,54,33513,"R"
"593",2015,105,6.6,53.86,200467,"R"
"594",1996,135,6.4,53.85,44180,"R"
"595",2007,126,7,53.7,194763,"PG-13"
"596",1995,127,6.3,53.67,34847,"PG"
"597",2007,122,7.7,53.61,276638,"R"
"598",2018,117,6.8,53.55,105897,"R"
"599",2010,114,6.5,53.37,116274,"PG-13"
"600",2005,77,7.3,53.36,230479,"PG"
"601",2011,106,4.7,53.35,7187,"PG-13"
"602",1980,132,6.3,53.3,12380,"PG"
"603",1973,151,8,53.27,116033,"R"
"604",2006,130,8.5,53.09,1109,"PG-13"
"605",2010,105,6.5,53.03,88140,"PG"
"606",2001,124,7.6,52.99,230051,"R"
"607",2007,116,7.3,52.9,330334,"R"
"608",1999,106,6.5,52.89,40243,"R"
"609",1999,126,6.2,52.88,34238,"PG-13"
"610",2016,144,7.3,52.85,108958,"R"
"611",2002,124,6.7,52.8,75787,"R"
"612",1982,191,8,52.77,211209,"PG"
"613",1994,117,7,52.7,131422,"R"
"614",2014,84,5.6,52.54,16739,"PG-13"
"615",2010,133,6.2,52.47,95225,"PG-13"
"616",2013,100,4.8,52.44,5625,"PG-13"
"617",2015,124,7.4,52.42,206558,"R"
"618",2001,110,7.6,52.36,252752,"R"
"619",2006,99,6.8,52.33,133617,"PG"
"620",1986,119,7,52.29,70297,"R"
"621",1986,89,8.1,52.29,344493,"R"
"622",2003,109,6.9,52.28,37077,"PG"
"623",1990,121,7.8,52.1,116183,"PG-13"
"624",2014,128,7.5,52.08,79990,"PG-13"
"625",2013,111,5,51.98,11167,"PG-13"
"626",1984,160,8.3,51.97,349425,"R"
"627",2004,126,6.3,51.88,154935,"PG-13"
"628",2013,94,6.7,51.87,106716,"R"
"629",2009,146,6.3,51.86,111101,"R"
"630",2012,105,6.6,51.85,43597,"PG"
"631",2011,113,5.9,51.8,44333,"PG-13"
"632",2016,118,8,51.74,192698,"PG-13"
"633",2009,113,4.5,51.73,9315,"PG-13"
"634",1979,122,7.4,51.72,25316,"PG"
"635",2004,106,7.7,51.68,193485,"PG"
"636",2011,117,6.8,51.58,233311,"R"
"637",1992,126,7.1,51.43,50090,"PG-13"
"638",2001,131,7.6,51.4,231368,"R"
"639",2004,143,7.3,51.27,112171,"PG-13"
"640",1987,133,7.2,51.25,25472,"R"
"641",2005,101,6,51.1,79327,"R"
"642",1996,124,6.2,51.09,13000,"PG-13"
"643",2007,123,7.8,50.93,235274,"R"
"644",1995,106,5.7,50.89,12173,"R"
"645",2006,139,7.8,50.87,277035,"R"
"646",2005,128,6.9,50.82,122535,"R"
"647",1977,175,7.4,50.8,48867,"PG"
"648",1992,104,6.5,50.75,54889,"PG"
"649",1995,114,5.9,50.73,57910,"PG-13"
"650",1994,102,7.6,50.69,159594,"R"
"651",1999,146,7.6,50.67,88101,"R"
"652",2005,116,5.7,50.63,13175,"PG-13"
"653",2014,105,6.2,50.58,117868,"PG-13"
"654",2014,107,6.7,50.47,110958,"PG-13"
"655",1981,107,6.9,50.43,3790,"PG"
"656",2001,120,7.4,50.34,170170,"PG-13"
"657",1994,118,7.3,50.28,206239,"R"
"658",1997,93,6.9,50.13,46145,"R"
"659",1994,115,7.3,50.08,47344,"PG"
"660",1993,114,6.2,50.08,18390,"PG-13"
"661",2018,122,7.1,50.07,109106,"R"
"662",1996,135,6.3,50.05,32800,"PG"
"663",1994,126,6.6,50.02,19455,"R"
"664",1995,102,6.7,50.01,30125,"PG-13"
"665",1997,121,6.7,50.01,47845,"R"
"666",1975,125,8,50,224199,"R"
"667",2012,125,5.9,49.88,32369,"PG-13"
"668",2013,129,6.4,49.88,192663,"R"
"669",2005,102,5.2,49.77,15215,"PG"
"670",2008,165,6.6,49.55,115952,"PG-13"
"671",1987,93,7.6,49.53,115324,"R"
"672",2003,127,7.1,49.44,87428,"PG-13"
"673",1975,109,6.3,49.41,9997,"R"
"674",1997,104,5.5,49.32,69284,"PG-13"
"675",2009,109,7.4,49.2,86670,"PG-13"
"676",2007,117,6.3,49.12,7948,"PG-13"
"677",1991,136,6.8,49.11,24595,"R"
"678",1996,147,7.6,49.1,179534,"R"
"679",2007,119,7.2,49.03,151196,"R"
"680",1978,183,8.1,48.98,294070,"R"
"681",2017,94,7.4,48.96,200225,"R"
"682",2000,129,7.2,48.82,103157,"R"
"683",2018,135,7.5,48.69,177632,"R"
"684",2011,111,5.3,48.48,50030,"PG-13"
"685",2016,114,6.1,48.39,92213,"PG-13"
"686",1997,129,7.8,48.32,325455,"R"
"687",2005,95,6.7,48.32,95282,"PG-13"
"688",1985,120,7.2,48.23,24708,"PG-13"
"689",1992,202,7.7,48.17,78372,"PG-13"
"690",1997,125,5.9,48.17,70424,"R"
"691",1996,123,5.6,48.1,10515,"PG"
"692",1988,69,7.4,48.09,75750,"G"
"693",2004,96,6.6,48.02,174409,"PG-13"
"694",1984,138,7.5,47.95,41206,"PG"
"695",1992,107,6.4,47.92,30021,"R"
