"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"375",2010,105,6.3,35.61,88559,"R"
"376",1987,114,7.1,35.51,33216,"R"
"377",2019,93,5.4,35.42,32829,"PG-13"
"378",1977,109,6.4,35.4,19842,"R"
"379",2003,100,6.2,35.33,87191,"PG-13"
"380",1995,110,5.7,35.32,37391,"R"
"381",2007,98,6.4,35.19,187655,"R"
"382",1989,95,6.1,35.15,18732,"PG"
"383",2011,100,7.8,35.06,540487,"R"
"384",2000,106,5.6,35.01,30054,"PG-13"
"385",1978,121,7.6,35,68480,"R"
"386",1988,104,6.1,34.99,61237,"R"
"387",1996,108,5.7,34.75,4084,"R"
"388",1983,113,6.5,34.73,22207,"R"
"389",1995,96,5.6,34.69,106161,"R"
"390",2005,113,6.6,34.64,103983,"R"
"391",2003,101,5.8,34.6,39969,"R"
"392",1988,128,7.8,34.6,82023,"R"
"393",2015,87,5.1,34.51,46153,"PG-13"
"394",2003,109,7.3,34.47,128649,"R"
"395",1987,102,6.9,34.37,35306,"PG-13"
"396",2016,121,6.2,34.34,146180,"PG-13"
"397",2003,86,5.1,34.31,17999,"PG-13"
"398",2003,94,6.1,34.24,41908,"R"
"399",2006,105,5.4,34.02,128237,"R"
"400",2018,107,6.4,34.02,56232,"R"
"401",1981,88,6.2,33.98,6653,"R"
"402",1999,102,5.8,33.86,33511,"PG-13"
"403",1976,103,7.2,33.83,26338,"PG"
"404",2017,107,7.7,33.8,183401,"R"
"405",2004,124,6.4,33.68,145158,"R"
"406",2014,111,6,33.63,61780,"R"
"407",2013,96,5.6,33.62,113120,"PG-13"
"408",2001,94,5.4,33.36,8457,"PG"
"409",1996,121,6.8,33.33,69783,"R"
"410",2009,108,6.4,33.31,61369,"R"
"411",1991,134,6.9,33.24,14263,"R"
"412",2007,110,7,33.23,56416,"PG-13"
"413",1985,133,7.2,33.2,35273,"PG-13"
"414",1996,115,4.5,33.11,41077,"R"
"415",2007,157,7.7,33.08,415813,"R"
"416",1998,111,6.1,32.94,64471,"R"
"417",2007,90,5.3,32.84,39564,"PG-13"
"418",2004,103,6.2,32.68,77049,"R"
"419",1995,87,6.7,32.39,36955,"R"
"420",2014,117,7.9,32.38,426653,"R"
"421",2013,106,7.1,32.17,172829,"R"
"422",2019,119,6.2,32.14,46930,"R"
"423",2002,96,5.9,32.12,79775,"R"
"424",2001,94,5.5,32.1,14431,"PG-13"
