"","titles","years"
"255","Great Balls of Fire!",1989
"256","Nixon",1995
"257","Megan Leavey",2017
"258","One Night with the King",2006
"259","De-Lovely",2004
"260","The Intouchables",2011
"261","The Unsinkable Molly Brown",1964
"262","Hillary's America: The Secret History of the Democratic Party",2016
"263","American Me",1992
"264","Gypsy",1962
"265","Gods and Generals",2003
"266","The Founder",2016
"267","The New World",2005
"268","Battle of the Sexes",2017
"269","Love & Mercy",2014
"270","Why Do Fools Fall in Love",1998
"271","Dangal",2016
"272","Three Identical Strangers",2018
"273","The 33",2015
"274","Foxcatcher",2014
"275","End of the Spear",2005
"276","Moulin Rouge",1952
"277","Bloodsport",1988
"278","Yankee Doodle Dandy",1942
"279","Gunfight at the O.K. Corral",1957
"280","Girl with a Pearl Earring",2003
"281","Henry & June",1990
"282","The Other Side of the Mountain: Part II",1978
"283","Boys Don't Cry",1999
"284","The Longshots",2008
"285","The Old Man & the Gun",2018
"286","Bobby",2006
"287","The Danish Girl",2015
"288","Michael Collins",1996
"289","Lords of Dogtown",2005
"290","The Young Victoria",2009
"291","Give 'em Hell, Harry!",1975
"292","Welcome to Marwen",2018
"293","Belle",2013
"294","La Vie En Rose",2007
"295","Kinsey",2004
"296","The Best of Enemies",2019
"297","Domino",2005
"298","Henry V",1989
"299","The Walk",2015
"300","Marshall",2017
"301","The Lady in the Van",2015
"302","Immortal Beloved",1994
"303","The Express",2008
"304","Fair Game",2010
"305","Chaplin",1992
"306","Thank You for Your Service",2017
"307","Mrs Brown",1997
"308","Bernie",2011
"309","A Mighty Heart",2007
"310","Star!",1968
"311","Sweet Dreams",1985
"312","Queen of Katwe",2016
"313","Can You Ever Forgive Me?",2018
"314","If You Could See What I Hear",1982
"315","Pollock",2000
"316","The Lost City of Z",2016
"317","Amy",2015
"318","Mandela: Long Walk to Freedom",2013
"319","Christopher Columbus: The Discovery",1992
"320","Cadillac Records",2008
"321","Annie Get Your Gun",1950
"322","Sanju",2018
"323","Trumbo",2015
"324","Trumbo",2007
"325","Tupac: Resurrection",2003
"326","Loving",2016
"327","Beautiful Boy",2018
"328","El cantante",2006
"329","Taking Woodstock",2009
"330","Searching for Bobby Fischer",1993
"331","1492: Conquest of Paradise",1992
"332","Quills",2000
"333","A Cry in the Dark",1988
"334","Birth of the Dragon",2016
"335","Boy Erased",2018
"336","Conviction",2010
"337","Loving Vincent",2017
"338","Till the Clouds Roll By",1946
"339","Where the Buffalo Roam",1980
"340","The Last Station",2009
"341","The Grandmaster",2013
"342","I Dreamed of Africa",2000
"343","Star 80",1983
"344","Same Kind of Different as Me",2017
"345","Gods and Monsters",1998
"346","Cantinflas",2014
"347","Hyde Park on Hudson",2012
"348","Beyond the Sea",2004
"349","Southside with You",2016
"350","Unbroken: Path to Redemption",2018
"351","Master Z: The Ip Man Legacy",2018
"352","The Straight Story",1999
"353","Topsy-Turvy",1999
"354","Nirgendwo in Afrika",2001
"355","Maudie",2016
"356","Rabbit-Proof Fence",2002
"357","Coco Before Chanel",2009
"358","Hitchcock",2012
"359","American Splendor",2003
"360","Chasing Mavericks",2012
"361","The Sessions",2012
"362","Hangar 18",1980
"363","Chisum",1970
"364","The Diving Bell and the Butterfly",2007
"365","Cry Freedom",1987
"366","Ed Wood",1994
"367","Against the Ropes",2004
"368","Heaven & Earth",1993
"369","The Bling Ring",2013
"370","Luther",2003
"371","A Dangerous Method",2011
"372","Mongol: The Rise of Genghis Khan",2007
"373","The Man Who Invented Christmas",2017
"374","Cesar Chavez",2014
"375","Kundun",1997
"376","Downfall",2004
"377","Rescue Dawn",2006
"378","Stan & Ollie",2018
"379","Che!",1969
"380","The Ten Commandments",1923
"381","Shine a Light",2008
"382","Danny Collins",2015
"383","Orlando",1992
"384","My Dinner with Andre",1981
"385","Siegfried & Roy: The Magic Box",1999
"386","The Wind Rises",2013
"387","Colette",2018
"388","The World's Fastest Indian",2005
"389","The Diary of Anne Frank",1959
"390","Frances",1982
"391","Twenty Feet from Stardom",2013
"392","The Lover",1992
"393","Hilary and Jackie",1998
"394","Bleed for This",2016
"395","The Libertine",2004
"396","Mao's Last Dancer",2009
"397","King David",1985
"398","The Other Side of Heaven",2001
"399","Hands of Stone",2016
"400","Suffragette",2015
"401","Young Winston",1972
"402","Pavarotti",2019
"403","Tolkien",2019
"404","Dangerous Beauty",1998
"405","The Conqueror",1956
"406","Talk to Me",2007
"407","Persepolis",2007
"408","Bright Star",2009
"409","The Railway Man",2013
"410","Gotti",2018
"411","Brian Banks",2018
"412","Catch a Fire",2006
"413","Flash of Genius",2008
"414","Before Night Falls",2000
"415","China Cry: A True Story",1990
"416","Stronger",2017
"417","The Fog of War: Eleven Lessons from the Life of Robert S. McNamara",2003
"418","This Boy's Life",1993
"419","Restoration",1995
"420","Impromptu",1991
"421","Denial",2016
"422","The Visual Bible: The Gospel of John",2003
"423","I'm Not There",2007
"424","Dillinger",1945
"425","Searching for Sugar Man",2012
"426","Mr. Turner",2014
"427","The Assassination of Jesse James by the Coward Robert Ford",2007
"428","A United Kingdom",2016
"429","The Man Who Knew Infinity",2015
"430","Imagine: John Lennon",1988
"431","The Runaways",2010
"432","Fat Man and Little Boy",1989
"433","Once Upon a Time in China III",1992
"434","Born Into Brothels: Calcutta's Red Light Kids",2004
"435","Squanto: A Warrior's Tale",1994
"436","The Fifth Estate",2013
"437","Carrington",1995
"438","Crumb",1994
"439","Grizzly Man",2005
"440","Rosewater",2014
"441","Capturing the Friedmans",2003
"442","Tous les matins du monde",1991
"443","Waterloo",1970
"444","Heavenly Creatures",1994
"445","Whitney",2018
"446","Running Brave",1983
"447","The End of the Tour",2015
"448","Miss Potter",2006
"449","Isn't She Great",2000
"450","Basquiat",1996
"451","Anthropoid",2016
"452","Man on Wire",2008
"453","Gracie",2007
"454","Joan Rivers: A Piece of Work",2010
"455","American Animals",2018
"456","Sid and Nancy",1986
"457","Citizenfour",2014
"458","Three Little Words",1950
"459","How to Lose Friends & Alienate People",2008
"460","My Architect",2003
"461","The Good Lie",2014
"462","Bobby Jones: Stroke of Genius",2004
"463","The Bear",1984
"464","Yip Man 3",2015
"465","Miles Ahead",2015
"466","Truth",2015
"467","Marie",1985
"468","My One and Only",2009
"469","Jefferson in Paris",1995
"470","LBJ",2016
"471","Kill the Messenger",2014
"472","The Sapphires",2012
"473","Pawn Sacrifice",2014
"474","The Basketball Diaries",1995
"475","Backbeat",1994
"476","Papillon",2017
"477","At Eternity's Gate",2018
"478","Renoir",2012
"479","Waltz with Bashir",2008
"480","A Brief History of Time",1991
"481","Super 30",2019
"482","My All-American",2015
"483","Vincent & Theo",1990
"484","Bird",1988
"485","Dance with a Stranger",1985
"486","Wild Bill",1995
"487","Wilde",1997
"488","Mrs. Parker and the Vicious Circle",1994
"489","Farinelli",1994
"490","Guru",2007
"491","The Sea Inside",2004
"492","I'm Not Ashamed",2016
"493","Anne of the Thousand Days",1969
"494","Auto Focus",2002
"495","The Krays",1990
