"","titles","years"
"651","13 Ghosts",1960
"652","Treehouse",2014
"653","Green Room",2015
"654","Pi",1998
"655","The Skin I Live In",2011
"656","Night of the Demons",1988
"657","Soul Survivors",2001
"658","The Last House on the Left",1972
"659","The Fly",1958
"660","The Other Side of the Door",2016
"661","Fright Night Part 2",1988
"662","Before I Go to Sleep",2014
"663","976-EVIL",1988
"664","eXistenZ",1999
"665","Hexed",1993
"666","The Pyramid",2014
"667","Deadtime Stories",1986
"668","Prom Night II",1987
"669","Captivity",2007
"670","The Haunting",1963
"671","The Haunted Palace",1963
"672","The Innocents",1961
"673","Under the Skin",2013
"674","Impulse",1984
"675","Silent Night, Deadly Night",1984
"676","The Stepfather",1987
"677","Suspiria",2018
"678","Class of 1999",1990
"679","The Hand",1981
"680","Gojira",1954
"681","Dead of Winter",1987
"682","The Disappointments Room",2016
"683","The Kindred",1987
"684","BloodRayne",2005
"685","The Evil Dead",1981
"686","The Killing of a Sacred Deer",2017
"687","Nomads",1986
"688","Leprechaun 2",1994
"689","The Objective",2008
"690","Jeepers Creepers III",2017
"691","The Hunchback of Notre Dame",1923
