"","titles","years"
"1972","The Pirates Who Don't Do Anything: A VeggieTales Movie",2008
"1973","Mr. Nice Guy",1987
"1974","Mr. Nice Guy",1997
"1975","Battle of the Sexes",2017
"1976","The Matador",2005
"1977","I Think I Love My Wife",2007
"1978","Compromising Positions",1985
"1979","Father Goose",1964
"1980","Hak hap",1996
"1981","The Weather Man",2005
"1982","How to Murder Your Wife",1965
"1983","The Marrying Man",1991
"1984","Life with Mikey",1993
"1985","Strange Magic",2015
"1986","Undercover Blues",1993
"1987","Irreconcilable Differences",1984
"1988","People Like Us",2012
"1989","Ready to Rumble",2000
"1990","A Shot in the Dark",1964
"1991","Mr. Wrong",1996
"1992","The Watermelon Heist",2003
"1993","Ocean's 11",1960
"1994","Club Paradise",1986
"1995","Miss Pettigrew Lives for a Day",2008
"1996","Hot Tub Time Machine 2",2015
"1997","Casual Sex?",1988
"1998","I'll Be Home for Christmas",1998
"1999","Little Big League",1994
"2000","The Heartbreak Kid",1972
"2001","Chasing Liberty",2004
"2002","Envy",2004
"2003","Pink Cadillac",1989
"2004","Saving Grace",2000
"2005","Roommates",1995
"2006","Bye Bye Love",1995
"2007","Soul Men",2008
"2008","Holy Man",1998
"2009","She's Out of Control",1989
"2010","Sunshine Cleaning",2008
"2011","Fatal Beauty",1987
"2012","Chasing Amy",1997
"2013","Divorce American Style",1967
"2014","Tall Story",1960
"2015","The Seven Year Itch",1955
"2016","Gentlemen Prefer Blondes",1953
"2017","Cold Turkey",1971
"2018","Brighton Beach Memoirs",1986
"2019","The Darjeeling Limited",2007
"2020","Blinded by the Light",2019
"2021","Sydney White",2007
"2022","Sliding Doors",1998
"2023","Firewalker",1986
"2024","Breakin' All the Rules",2004
"2025","Back Roads",1981
"2026","Meet Dave",2008
"2027","Bananas",1971
"2028","Zelig",1983
"2029","Caddyshack II",1988
"2030","3 Ninjas Kick Back",1994
"2031","Strictly Ballroom",1992
"2032","Up the Creek",1984
"2033","Dave Chappelle's Block Party",2005
"2034","Fifty Shades of Black",2016
"2035","Surviving Christmas",2004
"2036","Rock-A-Doodle",1991
"2037","The Adventures of Elmo in Grouchland",1999
"2038","Zoom",2006
"2039","The Muse",1999
"2040","The Last Kiss",2006
"2041","So I Married an Axe Murderer",1993
"2042","Police Academy 6: City Under Siege",1989
"2043","Get Over It",2001
"2044","The Legend of Drunken Master",1994
"2045","Pump Up the Volume",1990
"2046","The Cookout",2004
"2047","Young Einstein",1988
"2048","Super Size Me",2004
"2049","No manches Frida",2016
"2050","The Longshots",2008
"2051","Army of Darkness",1992
"2052","Just One of the Guys",1985
"2053","Do Not Disturb",1965
"2054","The Beautician and the Beast",1997
"2055","Moon Over Parador",1988
"2056","Material Girls",2006
"2057","The Ref",1994
"2058","Double Team",1997
"2059","Something New",2006
"2060","The Powerpuff Girls Movie",2002
"2061","Cops and Robbersons",1994
"2062","Opportunity Knocks",1990
"2063","Career Opportunities",1991
"2064","Ready to Wear",1994
"2065","Who's the Man?",1993
"2066","Casanova",2005
"2067","Manhattan Murder Mystery",1993
